Company Name,Career Page URL,Headquarters City,Company Size,Funding Stage,Last Known Funding Amount,AI Focus Area,ATS Platform,Notes,ATS Platform (enriched),ATS Slug,ATS API URL
Abnormal Security,https://abnormal.ai/careers,San Francisco,1000+,Series D,,AI Security,,Strong enterprise PM hiring,Greenhouse,abnormalsecurity,https://boards-api.greenhouse.io/v1/boards/abnormalsecurity/jobs
Adept,https://www.adept.ai/careers,San Francisco,100-250,Series B,,Agentic AI,,Ex-OpenAI talent,Custom,,
Adobe,https://careers.adobe.com/us/en,San Jose,10000+,Public,,Creative AI / GenAI,,Firefly + AI PM roles,Workday,adobe,
AiDash,https://www.aidash.com/careers/,Palo Alto,251-500,Series C,,Climate AI,,Has PM org,Unknown,,
Aisera,https://aisera.com/careers/,Palo Alto,251-500,Acquired,,Enterprise AI,Greenhouse,Now under Automation Anywhere,Greenhouse,aisera,https://boards-api.greenhouse.io/v1/boards/aisera/jobs
AKASA,https://akasa.com/careers/,South San Francisco,251-500,Series C,,Healthcare AI,,Revenue cycle AI,Greenhouse,akasa,https://boards-api.greenhouse.io/v1/boards/akasa/jobs
Alation,https://www.alation.com/careers/,Redwood City,501-1000,Series D,,Data + AI,,Enterprise PM roles,Greenhouse,alation,https://boards-api.greenhouse.io/v1/boards/alation/jobs
Alchemy,https://www.alchemy.com/careers,San Francisco,500-1000,Series C,,Developer Platform / AI infra,,Strong growth,Greenhouse,alchemy,https://boards-api.greenhouse.io/v1/boards/alchemy/jobs
Amazon (AWS AI),https://www.amazon.jobs/en/,Sunnyvale,10000+,Public,,AI Cloud / Infra,,Heavy TPM hiring,Custom,,
Ambi Robotics,https://www.ambirobotics.com/careers,Berkeley,11-50,Series A,,Robotics,,Warehouse AI,Unknown,,
Ambient.ai,https://www.ambient.ai/careers,Redwood City,101-250,Series B,,AI Security,Ashby,Good PM signal,Ashby,ambient,https://api.ashbyhq.com/posting-api/job-board/ambient
Amplitude,https://amplitude.com/careers,San Francisco,1000+,Public,,Product Analytics + AI,,PM heavy,Greenhouse,amplitude,https://boards-api.greenhouse.io/v1/boards/amplitude/jobs
Anyscale,https://www.anyscale.com/careers,San Francisco,251-500,Series C,,AI Infra / Ray,,Infra PM roles,Greenhouse,anyscale,https://boards-api.greenhouse.io/v1/boards/anyscale/jobs
Anthropic,https://www.anthropic.com/careers,San Francisco,2500+,Late Stage,,Foundation Models,,Top target,Greenhouse,anthropic,https://boards-api.greenhouse.io/v1/boards/anthropic/jobs
Apple (AI/ML),https://jobs.apple.com/en-us/search,Cupertino,10000+,Public,,Consumer AI,,ML + platform PMs,Custom,,
Arize AI,https://arize.com/careers/,Berkeley,101-250,Series C,,AI Observability,Greenhouse,Hot category,Greenhouse,arizeai,https://boards-api.greenhouse.io/v1/boards/arizeai/jobs
AssemblyAI,https://www.assemblyai.com/careers,San Francisco,51-100,Series B,,Speech AI,,API-first product,Greenhouse,assemblyai,https://boards-api.greenhouse.io/v1/boards/assemblyai/jobs
Atropos Health,https://www.atroposhealth.com/careers/,Palo Alto,51-100,Series A,,Healthcare AI,,Clinical AI,Unknown,,
Augment Code,https://www.augmentcode.com/careers,Palo Alto,101-250,Series B,,AI Coding,,Competing w/ Copilot,Ashby,augmentcode,https://api.ashbyhq.com/posting-api/job-board/augmentcode
Avaamo,https://avaamo.ai/careers/,Los Altos,101-250,Series B,,Enterprise AI,,TPM roles exist,Unknown,,
Bardeen,https://jobs.ashbyhq.com/bardeen,San Francisco,11-50,Series A,,AI Agents,Ashby,Automation agents,Ashby,bardeen,https://api.ashbyhq.com/posting-api/job-board/bardeen
Baseten,https://www.baseten.co/careers,San Francisco,51-100,Series E,$300M,Inference Infra,,Hot infra layer,Greenhouse,baseten,https://boards-api.greenhouse.io/v1/boards/baseten/jobs
BigID,https://bigid.com/careers/,Redwood City,501-1000,Series D,,AI Security,,Enterprise GTM PMs,Greenhouse,bigid,https://boards-api.greenhouse.io/v1/boards/bigid/jobs
Braintrust,https://www.braintrust.dev/careers,San Francisco,11-50,Series A,,AI Dev Tools,,Eval tooling,Ashby,braintrustdata,https://api.ashbyhq.com/posting-api/job-board/braintrustdata
C3 AI,https://c3.ai/careers/,Redwood City,1000+,Public,,Enterprise AI,,Stable PM org,Greenhouse,c3iot,https://boards-api.greenhouse.io/v1/boards/c3iot/jobs
Cartesia,https://jobs.ashbyhq.com/cartesia,San Francisco,11-50,Series A,$64M,Voice AI,Ashby,New voice startup,Ashby,cartesia,https://api.ashbyhq.com/posting-api/job-board/cartesia
Cerebras Systems,https://www.cerebras.net/careers/,Sunnyvale,501-1000,Series F,,AI Chips,,Hardware + AI,Lever,cerebras,https://api.lever.co/v0/postings/cerebras?mode=json
Character.AI,https://character.ai/careers,Menlo Park,100-250,Series A/B,,Consumer AI,,High growth,Custom,,
Cohere,https://cohere.com/careers,Mountain View,500-1000,Series C,,Foundation Models,,Enterprise LLM,Greenhouse,cohere,https://boards-api.greenhouse.io/v1/boards/cohere/jobs
Confluent (AI),https://www.confluent.io/careers/,Mountain View,1000+,Public,,Data + AI,,Streaming AI,Greenhouse,confluent,https://boards-api.greenhouse.io/v1/boards/confluent/jobs
Contextual AI,https://www.contextual.ai/careers,Mountain View,11-50,Series A,$80M,RAG / LLM infra,,Emerging player,Ashby,contextualai,https://api.ashbyhq.com/posting-api/job-board/contextualai
Cruise,https://getcruise.com/careers,San Francisco,1000+,Acquired,,Autonomous Vehicles,,GM backed,Workday,getcruise,
Databricks,https://www.databricks.com/company/careers/open-positions,San Francisco,5000+,Late Stage,,Data + AI Platform,,Top PM org,Greenhouse,databricks,https://boards-api.greenhouse.io/v1/boards/databricks/jobs
Dataiku,https://www.dataiku.com/careers/,San Francisco,1000+,Series E,,Enterprise AI,,Strong PM hiring,Greenhouse,dataiku,https://boards-api.greenhouse.io/v1/boards/dataiku/jobs
Deepgram,https://deepgram.com/careers,San Francisco,100-250,Series B,,Speech AI,,API product,Greenhouse,deepgram,https://boards-api.greenhouse.io/v1/boards/deepgram/jobs
Descript,https://www.descript.com/careers,San Francisco,100-250,Series C,,AI Media Editing,,Creator tools,Greenhouse,descript,https://boards-api.greenhouse.io/v1/boards/descript/jobs
Domino Data Lab,https://www.dominodatalab.com/company/careers,San Francisco,501-1000,Series F,,MLOps,,Enterprise PM roles,Greenhouse,dominodatalab,https://boards-api.greenhouse.io/v1/boards/dominodatalab/jobs
Dropbox (AI),https://jobs.dropbox.com/all-jobs,San Francisco,1000+,Public,,AI productivity,,Dash AI,Custom,,
Eightfold AI,https://eightfold.ai/careers/,Mountain View,1000+,Series E,,HR AI,,Enterprise AI,Greenhouse,eightfoldai,https://boards-api.greenhouse.io/v1/boards/eightfoldai/jobs
Element AI (ServiceNow),https://careers.servicenow.com,Santa Clara,10000+,Acquired,,Enterprise AI,,Via ServiceNow,Workday,servicenow,
Fiddler AI,https://www.fiddler.ai/careers,San Francisco,51-100,Series B,,AI Observability,,Growing category,Greenhouse,fiddlerai,https://boards-api.greenhouse.io/v1/boards/fiddlerai/jobs
Figure AI,https://www.figure.ai/careers,Sunnyvale,100-250,Series B,,Humanoid Robotics,,Hot startup,Greenhouse,figureai,https://boards-api.greenhouse.io/v1/boards/figureai/jobs
Forethought,https://forethought.ai/careers,San Francisco,101-250,Series C,,Support AI,,PM roles,Unknown,,
Glean,https://www.glean.com/careers,Palo Alto,500-1000,Series D,,Enterprise Search AI,,Top PM target,Greenhouse,glean,https://boards-api.greenhouse.io/v1/boards/glean/jobs
Google (DeepMind/AI),https://careers.google.com/jobs/results/,Mountain View,10000+,Public,,AI / LLMs,,Huge org,Custom,,
Groq,https://groq.com/careers/,Mountain View,100-250,Series C,,AI Chips,,Fast inference,Greenhouse,groq,https://boards-api.greenhouse.io/v1/boards/groq/jobs
H2O.ai,https://h2o.ai/company/careers/,Mountain View,501-1000,Series E,,Enterprise AI,,AutoML,Greenhouse,h2oai,https://boards-api.greenhouse.io/v1/boards/h2oai/jobs
Hugging Face (SF),https://huggingface.co/join-us,San Francisco,500-1000,Series D,,Open AI platform,,Community + PM,Greenhouse,huggingface,https://boards-api.greenhouse.io/v1/boards/huggingface/jobs
Inflection AI,https://inflection.ai/careers,Palo Alto,100-250,Series B,,Foundation Models,,Pi assistant,Custom,,
Instabase,https://www.instabase.com/careers/,San Francisco,500-1000,Series D,,Enterprise AI,,Document AI,Greenhouse,instabase,https://boards-api.greenhouse.io/v1/boards/instabase/jobs
Intel AI,https://jobs.intel.com/,Santa Clara,10000+,Public,,AI Hardware,,Chip + SW,Workday,intel,
Klaviyo AI,https://www.klaviyo.com/careers,San Francisco,1000+,Public,,Marketing AI,,PM heavy,Greenhouse,klaviyo,https://boards-api.greenhouse.io/v1/boards/klaviyo/jobs
